Town,State,Zone,lat,lon
Agra,Utter Pradesh,III,27.1767,78.0081
Ahmedabad,Gujarat,III,23.0216238,72.5797068
Ajmer,Rajasthan,II,26.4691,74.639
Allahabad,Utter Pradesh,II,25.4358,81.8463
Almora,Uttrakhand,IV,29.5892,79.6467
Ambala,Haryana,IV,30.3843674,76.770421
Amritsar,Punjab,IV,31.6343083,74.8736788
Asansol,West Bengal,III,23.6871297,86.9746587
Aurangabad,Maharastha,II,19.8762,75.3433
Baharich,Utter Pradesh,IV,27.5705,81.5977
Bangalore,Karnataka,II,12.9767936,77.590082
Barauni,Bihar,IV,25.43145435,86.02837532
Bareilly,Utter Pradesh,III,28.367,79.4304
Belgaum,Karnataka,III,15.8572666,74.5069343
Bhatinda,Punjab,III,30.211,74.9455
Bhilai,Chattiagarh,II,21.1938,81.3509
Bhopal,Madhya Pradesh,II,23.2584857,77.401989
Bhubaneswar,Orissa,III,20.2602964,85.8394521
Bhuj,Gujarat,V,23.2472446,69.668339
Bijapur,Karnataka,III,16.8269911,75.7175387
Bikaner,Rajasthan,III,28.0159286,73.3171367
Bokaro,Jharkhand,III,23.69912795,85.99106894
Bulandshahr,Utter Pradesh,IV,28.407,77.8498
Burdwan,West Bengal,III,23.2495714,87.8681751
Cailcut,Kerala,III,11.2588,75.7804
Chandigarh,Chandigarh,IV,30.72984395,76.78414567
Chennai,Tamil Nadu,III,13.0836939,80.270186
Kanchipuram,Tamil Nadu,III,12.9647163,79.9839686
Kanpur,Utter Pradesh,III,26.4499,80.3319
Karwar,Karnataka,III,14.8120931,74.1319229
Kohima,Nagaland,V,25.75,94.166667
Kolkata,West Bengal,III,22.5726459,88.3638953
Kota,Rajasthan,II,25.1737019,75.8574194
Kurnool,Andhra Pradesh,II,15.8309251,78.0425373
Lucknow,Utter Pradesh,III,26.8467,80.9462
Ludhiyana,Punjab,IV,30.901,75.8573
Madurai,Tamil Nadu,II,9.9261153,78.1140983
Mandi,Himanchal Pradesh,V,31.5892,76.9182
